"","date","state","positive","negative","pending","hospitalized","death","total","dateChecked","totalTestResults","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
"800",20200311,"OH",4,21,24,NA,NA,49,"2020-03-11T20:00:00Z",25,0,0,7,1,8
"801",20200311,"OK",2,15,11,NA,NA,28,"2020-03-11T20:00:00Z",17,0,0,0,0,0
"802",20200311,"OR",19,286,62,NA,NA,367,"2020-03-11T20:00:00Z",305,0,0,73,4,77
"803",20200311,"PA",15,88,54,NA,NA,157,"2020-03-11T20:00:00Z",103,0,0,88,3,91
"804",20200311,"RI",5,58,24,NA,NA,87,"2020-03-11T20:00:00Z",63,0,0,5,2,7
"805",20200311,"SC",9,32,NA,NA,NA,41,"2020-03-11T20:00:00Z",41,0,0,8,2,10
"806",20200311,"SD",5,13,2,NA,NA,20,"2020-03-11T20:00:00Z",18,0,0,2,5,7
"807",20200311,"TN",7,50,NA,NA,NA,57,"2020-03-11T20:00:00Z",57,0,0,50,0,50
"808",20200311,"TX",21,NA,NA,NA,NA,21,"2020-03-11T20:00:00Z",21,0,0,0,8,8
"809",20200311,"UT",2,NA,NA,NA,NA,2,"2020-03-11T20:00:00Z",2,0,0,0,0,0
"810",20200311,"VA",9,60,NA,NA,NA,69,"2020-03-11T20:00:00Z",69,0,0,7,1,8
"811",20200311,"VT",1,62,NA,NA,NA,63,"2020-03-11T20:00:00Z",63,0,0,22,0,22
"812",20200311,"WA",267,2175,NA,NA,24,2466,"2020-03-11T20:00:00Z",2442,24,0,1065,105,1170
"813",20200311,"WI",3,43,NA,NA,NA,46,"2020-03-11T20:00:00Z",46,0,0,7,1,8
"814",20200311,"WV",0,3,2,NA,NA,5,"2020-03-11T20:00:00Z",3,0,0,1,0,1
"815",20200311,"WY",0,NA,NA,NA,NA,0,"2020-03-11T20:00:00Z",0,0,0,0,0,0
"816",20200310,"AK",0,23,9,NA,NA,32,"2020-03-10T20:00:00Z",23,0,0,0,0,0
"817",20200310,"AL",0,0,0,NA,NA,0,"2020-03-10T20:00:00Z",0,0,0,0,0,0
"818",20200310,"AR",0,12,3,NA,NA,15,"2020-03-10T20:00:00Z",12,0,0,0,0,0
"819",20200310,"AZ",6,51,27,NA,NA,84,"2020-03-10T20:00:00Z",57,0,0,7,1,8
"820",20200310,"CA",133,690,NA,NA,NA,823,"2020-03-10T20:00:00Z",823,0,0,0,19,19
"821",20200310,"CO",12,142,1,NA,NA,155,"2020-03-10T20:00:00Z",154,0,0,9,3,12
"822",20200310,"CT",2,54,NA,NA,NA,56,"2020-03-10T20:00:00Z",56,0,0,8,1,9
"823",20200310,"DC",5,17,2,NA,NA,24,"2020-03-10T20:00:00Z",22,0,0,3,4,7
"824",20200310,"DE",0,17,3,NA,NA,20,"2020-03-10T20:00:00Z",17,0,0,2,0,2
"825",20200310,"FL",19,222,155,NA,NA,396,"2020-03-10T20:00:00Z",241,0,0,82,1,83
"826",20200310,"GA",17,NA,NA,NA,NA,17,"2020-03-10T20:00:00Z",17,0,0,0,5,5
"827",20200310,"HI",2,NA,NA,NA,NA,2,"2020-03-10T20:00:00Z",2,0,0,0,0,0
"828",20200310,"IA",8,32,11,NA,NA,51,"2020-03-10T20:00:00Z",40,0,0,6,5,11
"829",20200310,"ID",0,41,NA,NA,NA,41,"2020-03-10T20:00:00Z",41,0,0,0,0,0
"830",20200310,"IL",19,244,63,NA,NA,326,"2020-03-10T20:00:00Z",263,0,0,53,12,65
"831",20200310,"IN",6,30,NA,NA,NA,36,"2020-03-10T20:00:00Z",36,0,0,30,4,34
"832",20200310,"KS",1,17,21,NA,NA,39,"2020-03-10T20:00:00Z",18,0,0,6,0,6
"833",20200310,"KY",6,28,NA,NA,NA,34,"2020-03-10T20:00:00Z",34,0,0,11,2,13
"834",20200310,"LA",1,11,NA,NA,NA,12,"2020-03-10T20:00:00Z",12,0,0,6,0,6
"835",20200310,"MA",92,NA,NA,NA,NA,92,"2020-03-10T20:00:00Z",92,0,0,0,51,51
"836",20200310,"MD",6,89,NA,NA,NA,95,"2020-03-10T20:00:00Z",95,0,0,16,1,17
"837",20200310,"ME",0,20,5,NA,NA,25,"2020-03-10T20:00:00Z",20,0,0,19,0,19
"838",20200310,"MI",0,39,24,NA,NA,63,"2020-03-10T20:00:00Z",39,0,0,3,0,3
"839",20200310,"MN",3,132,NA,NA,NA,135,"2020-03-10T20:00:00Z",135,0,0,52,1,53
"840",20200310,"MO",1,NA,NA,NA,NA,1,"2020-03-10T20:00:00Z",1,0,0,0,0,0
"841",20200310,"MS",0,NA,NA,NA,NA,0,"2020-03-10T20:00:00Z",0,0,0,0,0,0
"842",20200310,"MT",0,15,NA,NA,NA,15,"2020-03-10T20:00:00Z",15,0,0,4,0,4
"843",20200310,"NC",7,NA,NA,NA,NA,7,"2020-03-10T20:00:00Z",7,0,0,0,5,5
"844",20200310,"ND",0,6,2,NA,NA,8,"2020-03-10T20:00:00Z",6,0,0,6,0,6
"845",20200310,"NE",3,47,16,NA,NA,66,"2020-03-10T20:00:00Z",50,0,0,11,0,11
"846",20200310,"NH",4,38,5,NA,NA,47,"2020-03-10T20:00:00Z",42,0,0,0,0,0
"847",20200310,"NJ",15,44,20,NA,NA,79,"2020-03-10T20:00:00Z",59,0,0,9,4,13
"848",20200310,"NM",0,69,NA,NA,NA,69,"2020-03-10T20:00:00Z",69,0,0,12,0,12
"849",20200310,"NV",0,14,NA,NA,NA,14,"2020-03-10T20:00:00Z",14,0,0,0,0,-1
"850",20200310,"NY",173,92,NA,NA,NA,265,"2020-03-10T20:00:00Z",265,0,0,0,31,31
"851",20200310,"OH",3,14,15,NA,NA,32,"2020-03-10T20:00:00Z",17,0,0,3,0,3
"852",20200310,"OK",2,15,11,NA,NA,28,"2020-03-10T20:00:00Z",17,0,0,7,1,8
"853",20200310,"OR",15,213,67,NA,NA,295,"2020-03-10T20:00:00Z",228,0,0,48,1,49
"854",20200310,"PA",12,NA,NA,NA,NA,12,"2020-03-10T20:00:00Z",12,0,0,0,5,5
"855",20200310,"RI",3,53,6,NA,NA,62,"2020-03-10T20:00:00Z",56,0,0,0,0,0
"856",20200310,"SC",7,24,NA,NA,NA,31,"2020-03-10T20:00:00Z",31,0,0,0,0,0
"857",20200310,"SD",0,11,0,NA,NA,11,"2020-03-10T20:00:00Z",11,0,0,6,0,6
"858",20200310,"TN",7,NA,NA,NA,NA,7,"2020-03-10T20:00:00Z",7,0,0,0,4,4
"859",20200310,"TX",13,NA,NA,NA,NA,13,"2020-03-10T20:00:00Z",13,0,0,0,1,1
"860",20200310,"UT",2,NA,NA,NA,NA,2,"2020-03-10T20:00:00Z",2,0,0,0,1,1
"861",20200310,"VA",8,53,NA,NA,NA,61,"2020-03-10T20:00:00Z",61,0,0,15,5,20
"862",20200310,"VT",1,40,NA,NA,NA,41,"2020-03-10T20:00:00Z",41,0,0,6,0,6
"863",20200310,"WA",162,1110,NA,NA,NA,1272,"2020-03-10T20:00:00Z",1272,0,0,0,26,26
"864",20200310,"WI",2,36,NA,NA,NA,38,"2020-03-10T20:00:00Z",38,0,0,0,1,1
"865",20200310,"WV",0,2,3,NA,NA,5,"2020-03-10T20:00:00Z",2,0,0,0,0,0
"866",20200310,"WY",0,0,0,NA,NA,0,"2020-03-10T20:00:00Z",0,0,0,0,0,0
"867",20200309,"AK",0,23,9,NA,NA,32,"2020-03-09T20:00:00Z",23,0,0,9,0,9
"868",20200309,"AL",0,NA,NA,NA,NA,0,"2020-03-09T20:00:00Z",0,0,0,0,0,0
"869",20200309,"AR",0,12,0,NA,NA,12,"2020-03-09T20:00:00Z",12,0,0,6,0,6
